point,city,country,continent
SNU,Santa Clara,Cuba,North America
VRA,Varadero,Cuba,North America
PVR,Puerto Vallarta,Mexico,North America
QRO,Querétaro City,Mexico,North America
SJD,San José del Cabo,Mexico,North America
MZT,Mazatlán,Mexico,North America
CUU,Chihuahua,Mexico,North America
MZR,Mazar-i-Sharif,Afghanistan,Asia
BAH,Manama,Bahrain,Asia
AHB,Abha,Saudi Arabia,Asia
DMM,Dammam,Saudi Arabia,Asia
ELQ,Buraidah,Saudi Arabia,Asia
MED,Medina,Saudi Arabia,Asia
IFN,Isfahan,Iran,Asia
KIH,Kish Island,Iran,Asia
THR,Tehran,Iran,Asia
MHD,Mashhad,Iran,Asia
DXB,Dubai,UAE,Asia
BND,Bandar Abbas,Iran,Asia
AUH,Abu Dhabi,UAE,Asia
LHE,Lahore,Pakistan,Asia
EBL,Erbil,Iraq,Asia
PNH,Phnom Penh,Cambodia,Asia
REP,Siem Reap,Cambodia,Asia
BKK,Bangkok,Thailand,Asia
DAC,Dhaka,Bangladesh,Asia
UTP,Rayong,Thailand,Asia
HKT,Phuket,Thailand,Asia
CEI,Chiang Rai,Thailand,Asia
CNX,Chiang Mai,Thailand,Asia
YYJ,Victoria,Canada,North America
YLW,Kelowna,Canada,North America
COK,Kochi,India,Asia
CJB,Coimbatore,India,Asia
CCJ,Kozhikode,India,Asia
ATQ,Amritsar,India,Asia
FNJ,Pyongyang,North Korea,Asia
SJW,Shijiazhuang,China,Asia
TSN,Tianjin,China,Asia
CAN,Guangzhou,China,Asia
CSX,Changsha,China,Asia
KWL,Guilin,China,Asia
NNG,Nanning,China,Asia
SWA,Shantou,China,Asia
SZX,Shenzhen,China,Asia
CGO,Zhengzhou,China,Asia
HAK,Haikou,China,Asia
SYX,Sanya,China,Asia
INC,Yinchuan,China,Asia
XMN,Xiamen,China,Asia
KHN,Nanchang,China,Asia
FOC,Fuzhou,China,Asia
HGH,Hangzhou,China,Asia
TNA,Jinan,China,Asia
NGB,Ningbo,China,Asia
NKG,Nanjing,China,Asia
HFE,Hefei,China,Asia
TXN,Huangshan,China,Asia
WUX,Wuxi,China,Asia
WNZ,Wenzhou,China,Asia
YNT,Yantai,China,Asia
KWE,Guiyang,China,Asia
CGQ,Changchun,China,Asia
HRB,Harbin,China,Asia
DLC,Dalian,China,Asia
SHE,Shenyang,China,Asia
ABQ,Albuquerque,US,North America
AUS,Austin,US,North America
BNA,Nashville,US,North America
BDL,Windsor Locks,US,North America
CLE,Cleveland,US,North America
CLT,Charlotte,US,North America
CMH,Columbus,US,North America
CVG,Hebron,US,North America
CHS,Charleston,US,North America
ELP,El Paso,US,North America
GRR,Grand Rapids,US,North America
GSO,Greensboro,US,North America
GEG,Spokane,US,North America
GSP,Greenville,US,North America
IND,Indianapolis,US,North America
JAX,Jacksonville,US,North America
LAS,Las Vegas,US,North America
LCK,Columbus,US,North America
MCO,Orlando,US,North America
MKE,Milwaukee,US,North America
MYR,Myrtle Beach,US,North America
OAK,Oakland,US,North America
ORF,Norfolk,US,North America
PHL,Philadelphia,US,North America
PIA,Peoria,US,North America
PIT,Pittsburgh,US,North America
PNS,Pensacola,US,North America
PWM,Portland,US,North America
RDU,Raleigh,US,North America
RIC,Richmond,US,North America
RNO,Reno,US,North America
ROC,Rochester,US,North America
RSW,Fort Myers,US,North America
SAN,San Diego,US,North America
SAT,San Antonio,US,North America
SAV,Savannah,US,North America
SDF,Louisville,US,North America
SJC,San Jose,US,North America
SMF,Sacramento,US,North America
SRQ,Sarasota,US,North America
STL,St.Louis,US,North America
TPA,Tampa,US,North America
TUL,Tulsa,US,North America
TUS,Tucson,US,North America
PRN,Pristina,Kosovo,Europe
ODS,Odesa,Ukraine,Europe
LWO,Lviv,Ukraine,Europe
KZN,Kazan,Russia,Europe
SGC,Surgut,Russia,Asia
KRR,Krasnodar,Russia,Europe
PEE,Perm,Russia,Europe
NJC,Nizhnevartovsk,Russia,Asia
NUX,Novy Urengoy,Russia,Asia
CEK,Chelyabinsk,Russia,Asia
KUF,Samara,Russia,Europe
MRV,Mineralnye Vody,Russia,Europe
MCX,Makhachkala,Russia,Europe
HAM,Hamburg,Germany,Europe
CGN,Cologne,Germany,Europe
DUS,Düsseldorf,Germany,Europe
MUC,Munich,Germany,Europe
NUE,Nuremberg,Germany,Europe
BRE,Bremen,Germany,Europe
HAJ,Hanover,Germany,Europe
STR,Stuttgart,Germany,Europe
CRL,Charleroi,Belgium,Europe
DTM,Dortmund,Germany,Europe
TLL,Tallinn,Estonia,Europe
EIN,Eindhoven,Netherlands,Europe
BLL,Billund,Denmark,Europe
LUX,Luxembourg,Luxembourg,Europe
SVG,Stavanger,Norway,Europe
TOS,Tromsø,Norway,Europe
TRF,Sandefjord,Norway,Europe
GDN,Gdańsk,Poland,Europe
KRK,Kraków,Poland,Europe
KTW,Katowice,Poland,Europe
POZ,Poznań,Poland,Europe
WRO,Wrocław,Poland,Europe
VNO,Vilnius,Lithuania,Europe
KUN,Kaunas,Lithuania,Europe
BHX,Birmingham,UK,Europe
MAN,Manchester,UK,Europe
BRS,Bristol,UK,Europe
LPL,Liverpool,UK,Europe
LBA,Leeds,UK,Europe
DSA,Doncaster,UK,Europe
ABZ,Aberdeen,UK,Europe
GLA,Glasgow,UK,Europe
NCL,Newcastle upon Tyne,UK,Europe
BOH,Bournemouth,UK,Europe
EXT,Exeter,UK,Europe
TIA,Tirana,Albania,Europe
ZAG,Zagreb,Croatia,Europe
ALC,Alicante,Spain,Europe
BIO,Bilbao,Spain,Europe
VLC,Valencia,Spain,Europe
SVQ,Seville,Spain,Europe
BOD,Bordeaux,France,Europe
TLS,Toulouse,France,Europe
LYS,Lyon,France,Europe
MRS,Marseille,France,Europe
NCE,Nice,France,Europe
LIL,Lille,France,Europe
NTE,Nantes,France,Europe
BES,Brest,France,Europe
SXB,Strasbourg,France,Europe
RNS,Rennes,France,Europe
EAP,Saint-Louis,France,Europe
MPL,Montpellier,France,Europe
HER,Heraklion,Greece,Europe
KGS,Kos,Greece,Europe
CFU,Corfu,Greece,Europe
JMK,Mykonos,Greece,Europe
PVK,Preveza,Greece,Europe
RHO,Rhodes,Greece,Europe
CHQ,Chania,Greece,Europe
SMI,Samos,Greece,Europe
JTR,Santorini,Greece,Europe
SKG,Thessaloniki,Greece,Europe
ZTH,Zakynthos,Greece,Europe
LJU,Ljubljana,Slovenia,Europe
PRG,Prague,Czech Republic,Europe
FAO,Faro,Portugal,Europe
SJJ,Sarajevo,Bosnia and Herzegovina,Europe
IAS,Iași,Romania,Europe
TSR,Timișoara,Romania,Europe
GVA,Geneva,Switzerland,Europe
KIV,Chișinău,Moldova,Europe
SKP,Skopje,North Macedonia,Europe
BEG,Belgrade,Serbia,Europe
BTS,Bratislava,Slovakia,Europe
TGD,Podgorica,Montenegro,Europe
TIV,Tivat,Montenegro,Europe
ESB,Ankara,Turkey,Asia
TZX,Trabzon,Turkey,Asia
BJV,Milas,Turkey,Asia
DLM,Dalaman,Turkey,Asia
ADA,Adana,Turkey,Asia
BDS,Brindisi,Italy,Europe
BRI,Bari,Italy,Europe
BLQ,Bologna,Italy,Europe
CTA,Catania,Italy,Europe
PMO,Palermo,Italy,Europe
VRN,Verona,Italy,Europe
VCE,Venice,Italy,Europe
TSF,Treviso,Italy,Europe
NAP,Naples,Italy,Europe
PSA,Pisa,Italy,Europe
FLR,Florence,Italy,Europe
GOA,Genoa,Italy,Europe
CAG,Cagliari,Italy,Europe
